iter	RMSE
0	0.5780209282
1	0.5721662069
2	0.565554136
3	0.5606160496
4	0.5572816288
5	0.5542893326
6	0.5494703994
7	0.5455791985
8	0.5396028818
9	0.5336062465
10	0.5294792024
11	0.5233611733
12	0.5185369871
13	0.5152609332
14	0.5113561355
15	0.5082235536
16	0.5047776893
17	0.4999991852
18	0.4958542521
19	0.4916962098
20	0.4865809624
21	0.4827424325
22	0.4810073753
23	0.4774500187
24	0.475861763
25	0.4728242742
26	0.4699152227
27	0.4666698874
28	0.462720968
29	0.4613157322
30	0.4577284465
31	0.455608401
32	0.452775634
33	0.4492760923
34	0.4477007522
35	0.4453326082
36	0.4440161024
37	0.4418646813
38	0.4398213536
39	0.4364764167
40	0.4357181999
41	0.4338550635
42	0.4323859786
43	0.4300482288
44	0.4279704604
45	0.426594431
46	0.4261151514
47	0.4233713747
48	0.4218350828
49	0.4197002709
50	0.4184724899
51	0.4162137177
52	0.415477295
53	0.4132273651
54	0.4114801103
55	0.4108010478
56	0.4095841149
57	0.4078312174
58	0.4066902356
59	0.4058075915
60	0.4035352477
61	0.4022388738
62	0.4012290758
63	0.4000318827
64	0.3985500144
65	0.3978280332
66	0.3967937034
67	0.3964026767
68	0.3954753478
69	0.3933150828
70	0.3914869062
71	0.3902919699
72	0.3890309493
73	0.3873146338
74	0.3868841107
75	0.3860848732
76	0.3848353797
77	0.383431666
78	0.3823892811
79	0.3818733693
80	0.3813246831
81	0.3796342657
82	0.3781781359
83	0.3772535534
84	0.3760642154
85	0.3750061893
86	0.3736930762
87	0.3733003073
88	0.3725710214
89	0.3720167968
90	0.3717619445
91	0.3713332886
92	0.3707444734
93	0.3699971698
94	0.3687159434
95	0.3680553627
96	0.3675157538
97	0.3666133107
98	0.3662120355
99	0.3657559277
100	0.3650235503
101	0.3645997773
102	0.3639026454
103	0.3628917143
104	0.3624662088
105	0.3617101726
106	0.3606944909
107	0.3603346493
108	0.3597310724
109	0.3597310723
110	0.3591905789
111	0.3590687491
112	0.3586050622
113	0.3577500303
114	0.3570071507
115	0.3561384114
116	0.3555180777
117	0.3548634514
118	0.3545263493
119	0.3538664919
120	0.35311645
121	0.3524919954
122	0.3519850706
123	0.351404858
124	0.3510853366
125	0.3507805361
126	0.3505391241
127	0.349758847
128	0.3493398836
129	0.3488955169
130	0.3483423265
131	0.347879863
132	0.3475322287
133	0.3470475303
134	0.3465115942
135	0.3458128995
136	0.3454620476
137	0.3452270433
138	0.3445835068
139	0.3441343075
140	0.3434719246
141	0.3434015848
142	0.3431024247
143	0.3424696533
144	0.3420182036
145	0.3416033063
146	0.3414929577
147	0.3412952037
148	0.3406727924
149	0.3405315802
150	0.3401471039
151	0.339809028
152	0.3395705616
153	0.3392679384
154	0.3390677368
155	0.3387866651
156	0.3382790307
157	0.3382278853
158	0.3379836247
159	0.337533019
160	0.3372788734
161	0.3368547103
162	0.3365962471
163	0.336207394
164	0.3359920544
165	0.3355935144
166	0.3353240521
167	0.3349012251
168	0.334769907
169	0.3346388655
170	0.3345310295
171	0.3344526274
172	0.3343479007
173	0.3341736365
174	0.3338316311
175	0.33379617
176	0.3336424088
177	0.3335873496
178	0.3333295232
179	0.3330433607
180	0.3328611211
181	0.3327388912
182	0.3327140596
183	0.3324364402
184	0.3322485105
185	0.3321672112
186	0.3320213004
187	0.3316402014
188	0.3314594819
189	0.3314009518
190	0.3312260737
191	0.3310465152
192	0.331034265
193	0.3308760119
194	0.3305350784
195	0.3304309905
196	0.3303085918
197	0.3303085917
198	0.3301605407
199	0.3300487968
200	0.3300487968
201	0.3298511044
202	0.3296023381
203	0.3293249875
204	0.329324902
205	0.3292008395
206	0.3291505497
207	0.3291505497
208	0.3288202162
209	0.3286859823
210	0.3286859822
211	0.3286059677
212	0.3284915867
213	0.3281802837
214	0.3281086827
215	0.3281086827
216	0.3280675293
217	0.3279385332
218	0.3278332865
219	0.3275003663
220	0.3275003663
221	0.3272793878
222	0.3271764009
223	0.3271763916
224	0.3267417885
225	0.3265659943
