iter	Passed	Remaining
0	903	2257377
1	1911	2388019
2	3038	2529305
3	4331	2703054
4	4565	2278140
5	4803	1996512
6	5990	2133422
7	6749	2102612
8	7719	2136483
9	9035	2249933
10	10069	2278343
11	11469	2378074
12	12548	2400565
13	13591	2413497
14	14674	2431021
15	15591	2420569
16	16451	2402860
17	17611	2428493
18	18703	2442220
19	20064	2487987
20	20969	2475456
21	21631	2436462
22	21962	2365312
23	22678	2339715
24	23061	2283119
25	24131	2296236
26	24472	2241513
27	25249	2229182
28	26000	2215394
29	26660	2195062
30	28023	2231963
31	28622	2207533
32	29816	2228987
33	31014	2249492
34	32052	2257377
35	33214	2273377
36	33814	2250973
37	34040	2205456
38	35180	2220004
39	36291	2231937
40	36898	2213009
41	37313	2183714
42	38808	2217508
43	39782	2220603
44	41377	2257361
45	42504	2267544
46	42811	2234370
47	44107	2253146
48	45064	2254158
49	46493	2278166
50	47104	2261924
51	47986	2259068
52	48854	2255600
53	49894	2260029
54	51102	2271751
55	51737	2257984
56	52705	2258943
57	53978	2272663
58	55033	2276887
59	55276	2247901
60	56525	2260081
61	57711	2269354
62	58846	2276342
63	60106	2287793
64	61083	2288281
65	62203	2293981
66	62466	2268389
67	62674	2241547
68	63664	2243022
69	64918	2253605
70	65529	2241855
71	66560	2244552
72	67855	2255955
73	68654	2250737
74	68882	2227212
75	69540	2217970
76	70869	2230088
77	71981	2235126
78	73363	2248255
79	74280	2246973
80	75551	2256273
81	76595	2258641
82	77795	2265436
83	78657	2262343
84	79626	2262335
85	81050	2275072
86	82042	2275497
87	82454	2259996
88	83915	2273269
89	84361	2259016
90	84594	2239422
91	85475	2237229
92	86386	2235838
93	87377	2236488
94	88662	2244560
95	89570	2242990
96	90004	2229705
97	91347	2238945
98	92020	2231731
99	92826	2227826
100	94067	2234330
101	94410	2219578
102	95414	2220462
103	96900	2232439
104	97796	2230683
105	98913	2233942
106	100233	2241667
107	100468	2225195
108	101257	2221168
109	101310	2201209
110	101923	2193659
111	102238	2179860
112	103161	2179170
113	103765	2171794
114	105101	2179711
115	106091	2180364
116	107326	2185971
117	108008	2180305
118	108930	2179523
119	110301	2187655
120	111171	2185752
121	112355	2190015
122	112688	2177720
123	113000	2165226
124	113626	2158904
125	114071	2149246
126	114292	2135564
127	115560	2141473
128	116231	2136308
129	117216	2136939
130	118637	2145443
131	119628	2146061
132	120131	2137983
133	121422	2143925
134	122097	2138974
135	122551	2130240
136	124069	2139964
137	125123	2141599
138	126601	2150400
139	127465	2148708
140	128846	2155672
141	129356	2148042
142	130411	2149512
143	131801	2156417
144	132817	2157143
145	134169	2163249
146	134481	2152618
147	134693	2140534
148	135668	2140642
149	136314	2135590
150	137579	2140228
151	138705	2142636
152	139998	2147563
153	140782	2144650
154	142085	2149621
155	143082	2149905
156	144422	2155299
157	144792	2146228
158	145981	2149323
159	147226	2153194
160	148318	2154767
161	149626	2159427
162	150773	2161708
163	151827	2162609
164	152454	2157458
165	153612	2159822
166	154873	2163585
167	156076	2166494
168	157189	2168103
169	157593	2159963
170	157909	2150712
171	158567	2146186
172	159248	2142032
173	160640	2147416
174	161688	2148153
175	162119	2140713
176	163351	2143869
177	163970	2138981
178	164388	2131537
179	164819	2124338
180	166218	2129616
181	167273	2130434
182	167512	2120915
183	168866	2125514
184	169931	2126439
185	170445	2120489
186	170847	2113209
187	172101	2116484
188	173175	2117507
189	173612	2110756
190	174405	2108384
191	175332	2107638
192	175559	2098525
193	176900	2102746
194	177811	2101826
195	178451	2097720
196	179867	2102710
197	179921	2091811
198	180698	2089386
199	181892	2091761
200	181997	2081650
201	182916	2080902
202	183538	2076786
203	184900	2081041
204	185332	2074814
205	185589	2066708
206	185823	2058417
207	185872	2048176
208	186639	2045892
209	187713	2046971
210	187762	2036916
211	188781	2037419
212	189486	2034530
213	190090	2030596
214	190504	2024663
215	190554	2014935
216	190774	2007089
217	191990	2009740
218	193269	2013000
219	194181	2012421
220	194241	2003055
221	195554	2006638
222	196598	2007416
223	196844	2000078
224	198233	2004358
225	199100	2003338
226	200281	2005457
227	201455	2007484
228	202309	2006310
229	203166	2005160
230	203485	1998736
231	204151	1995755
232	204375	1988493
233	205495	1989968
234	206161	1987043
235	206460	1980621
236	207432	1980671
237	207954	1976444
238	208824	1975535
239	209764	1975281
240	211065	1978410
241	212153	1979510
242	213207	1980287
243	214080	1979366
244	214505	1974325
245	215569	1975172
246	216996	1979324
247	217674	1976627
248	218292	1973401
249	219215	1972942
250	220109	1972217
251	220927	1970815
252	221275	1965239
253	221587	1959390
254	222732	1960922
255	223159	1956131
256	224639	1960570
257	225799	1962182
258	227005	1964167
259	227074	1956329
260	227138	1948515
261	228330	1950392
262	228563	1944094
263	229867	1946909
264	230199	1941490
265	230629	1936942
266	231722	1937964
267	233241	1942519
268	234351	1943638
269	235100	1941755
270	235863	1939996
271	236260	1935251
272	237379	1936428
273	238687	1939122
274	239629	1938822
275	241115	1942899
276	241518	1938248
277	242520	1938415
278	243501	1938413
279	244165	1935882
280	245285	1936968
281	246517	1938918
282	247531	1939142
283	248567	1939526
284	249261	1937241
285	249501	1931456
286	250616	1932457
287	251432	1931141
288	252398	1930982
289	252810	1926592
290	254289	1930331
291	255231	1929969
292	255285	1922916
293	256841	1927187
294	257508	1924763
295	257928	1920523
296	259125	1922067
297	259452	1917165
298	259524	1910411
299	259942	1906246
300	260560	1903561
301	261962	1906599
302	263059	1907400
303	263113	1900651
304	263944	1899535
305	264782	1898472
306	265895	1899378
307	267182	1901504
308	268213	1901800
309	269315	1902582
310	269653	1897976
311	270722	1898525
312	271368	1896109
313	272849	1899519
314	273779	1899076
315	273833	1892573
316	275155	1894841
317	276303	1895893
318	277485	1897162
319	277568	1890933
320	278664	1891616
321	279760	1892294
322	280332	1889422
323	281623	1891395
324	282060	1887638
325	282111	1881317
326	282766	1879060
327	283869	1879770
328	284661	1878419
329	284939	1873692
330	286342	1876367
331	286767	1872623
332	287927	1873690
333	288938	1873772
334	289993	1874140
335	291225	1875630
336	292238	1875702
337	293446	1877016
338	294651	1878293
339	295461	1877046
340	296782	1879044
341	297799	1879095
342	299354	1882527
343	299617	1877834
344	300615	1877757
345	300669	1871799
346	300919	1867087
347	301354	1863547
348	302548	1864703
349	303159	1862262
350	303866	1860423
351	304890	1860522
352	305898	1860524
353	307294	1862861
354	307902	1860427
355	309084	1861450
356	310380	1863152
357	311446	1863457
358	313002	1866679
359	314128	1867318
360	314783	1865155
361	315329	1862359
362	315378	1856652
363	316335	1856297
364	317760	1858678
365	318433	1856658
366	319494	1856901
367	319568	1851412
368	319648	1845991
369	320564	1845413
370	320624	1839916
371	321476	1838983
372	322690	1840112
373	323918	1841311
374	324561	1839184
375	325212	1837106
376	326410	1838113
377	327341	1837618
378	328095	1836124
379	329064	1835835
380	330098	1835901
381	331272	1836743
382	331843	1834238
383	332988	1834905
384	333932	1834461
385	334364	1831207
386	335514	1831891
387	335599	1826769
388	336826	1827870
389	337830	1827752
390	339207	1829640
391	340221	1829557
392	340537	1825729
393	341449	1825109
394	342523	1825345
395	342760	1821132
396	344163	1823112
397	345283	1823583
398	346711	1825663
399	347684	1825342
400	348529	1824350
401	349257	1822743
402	349822	1820293
403	350859	1820299
404	352254	1822154
405	352564	1818396
406	353697	1818891
407	355100	1820757
408	356238	1821260
409	356686	1818231
410	358098	1820115
411	359139	1820107
412	360492	1821665
413	361183	1819875
414	362286	1820163
415	363616	1821578
416	363839	1817452
417	364861	1817324
418	366173	1818633
419	367164	1818338
420	368581	1820146
421	369534	1819650
422	370800	1820690
423	371157	1817273
424	371387	1813244
425	371617	1809234
426	372671	1809248
427	374149	1811302
428	375105	1810823
429	376544	1812668
430	377504	1812195
431	378862	1813630
432	379891	1813478
433	381075	1814061
434	382282	1814744
435	383379	1814895
436	384106	1813299
437	385158	1813236
438	386048	1812405
439	386770	1810787
440	387494	1809187
441	388611	1809418
442	389989	1810853
443	391038	1810755
444	392495	1812535
445	393560	1812497
446	394148	1810261
447	395399	1811071
448	396454	1810977
449	397194	1809441
450	398354	1809816
451	399012	1807914
452	400430	1809450
453	401511	1809456
454	402055	1807042
455	403365	1808069
456	404514	1808365
457	405880	1809623
458	406948	1809545
459	408361	1810996
460	409367	1810630
461	410969	1812889
462	412011	1812671
463	413377	1813873
464	414464	1813837
465	415946	1815527
466	417031	1815472
467	418297	1816195
468	419421	1816300
469	420905	1817953
470	422129	1818473
471	423286	1818696
472	424604	1819607
473	425662	1819393
474	427129	1820921
475	428171	1820626
476	429717	1822472
477	430770	1822212
478	432272	1823848
479	433266	1823329
480	434700	1824658
481	435727	1824271
482	437127	1825435
483	438229	1825353
484	439602	1826388
485	440853	1826912
486	442169	1827695
487	443338	1827863
488	444493	1827969
489	445748	1828478
490	446789	1828106
491	448276	1829552
492	449294	1829074
493	450591	1829727
494	451699	1829609
495	452986	1830212
496	454203	1830523
497	455546	1831333
498	456766	1831641
499	458000	1832001
500	459280	1832539
501	460430	1832550
502	461747	1833219
503	462883	1833165
504	464151	1833628
505	465131	1832948
506	466533	1833928
507	467558	1833417
508	468947	1834330
509	470015	1833982
510	471366	1834730
511	472585	1834961
512	473903	1835566
513	475245	1836261
514	476514	1836663
515	477693	1836712
516	478802	1836488
517	480174	1837269
518	481225	1836817
519	482641	1837751
520	483675	1837225
521	485062	1838035
522	486236	1838028
523	487506	1838382
524	488697	1838433
525	489938	1838666
526	491298	1839338
527	492478	1839331
528	493759	1839699
529	494896	1839519
530	496346	1840499
531	497387	1839961
532	498899	1841154
533	499941	1840607
534	501392	1841564
535	502490	1841215
536	503932	1842121
537	504973	1841557
538	506381	1842326
539	507406	1841696
540	508688	1841999
541	509889	1842000
542	511197	1842381
543	512437	1842513
544	513555	1842203
545	515068	1843302
546	516108	1842704
547	517539	1843499
548	518546	1842778
549	519929	1843384
550	520972	1842784
551	522321	1843265
552	523506	1843160
553	524852	1843616
554	525995	1843353
555	527351	1843834
556	528458	1843438
557	529563	1843032
558	530892	1843404
559	531820	1842376
560	533267	1843146
561	534309	1842510
562	535887	1843718
563	537026	1843411
564	538393	1843878
565	539540	1843587
566	540969	1844256
567	542105	1843921
568	543456	1844314
569	544666	1844222
570	545693	1843506
571	546987	1843691
572	548123	1843340
573	549499	1843791
574	550604	1843328
575	551974	1843749
576	553031	1843120
577	554449	1843688
578	555546	1843186
579	556692	1842844
580	557910	1842738
581	559044	1842349
582	560374	1842605
583	561509	1842211
584	563001	1842986
585	564193	1842774
586	565555	1843114
587	566563	1842294
588	567987	1842824
589	569048	1842173
590	570477	1842709
591	571427	1841695
592	572721	1841787
593	573899	1841502
594	575098	1841282
595	576451	1841550
596	577522	1840914
597	578879	1841185
598	579925	1840465
599	581398	1841094
600	582462	1840426
601	583919	1840996
602	584995	1840359
603	586445	1840895
604	587340	1839687
605	588735	1840041
606	589879	1839607
607	591066	1839304
608	592235	1838944
609	593394	1838549
610	594653	1838461
611	595730	1837809
612	597361	1838858
613	598440	1838205
614	599770	1838320
615	600890	1837787
616	602360	1838321
617	603550	1837997
618	605002	1838465
619	606078	1837787
620	607375	1837775
621	608537	1837351
622	609715	1836974
623	610875	1836543
624	611942	1835828
625	613364	1836174
626	614361	1835246
627	615796	1835622
628	616841	1834834
629	618177	1834906
630	619257	1834218
631	620674	1834525
632	621862	1834150
633	623063	1833812
634	624370	1833782
635	625463	1833119
636	626800	1833168
637	627849	1832374
638	629337	1832860
639	630363	1831993
640	631905	1832624
641	632926	1831741
642	634494	1832435
643	635492	1831480
644	636974	1831919
645	638103	1831336
646	639357	1831111
647	640531	1830653
648	641686	1830141
649	642914	1829833
650	643965	1829019
651	645413	1829330
652	646493	1828596
653	647898	1828776
654	648926	1827893
655	650477	1828475
656	651537	1827677
657	653027	1828080
658	653980	1826977
659	655310	1826925
660	656441	1826316
661	657826	1826412
662	658973	1825844
663	660307	1825788
664	661583	1825571
665	662738	1825019
666	664095	1825017
667	665268	1824509
668	666644	1824552
669	667704	1823730
670	669256	1824248
671	670273	1823303
672	671691	1823448
673	672774	1822680
674	674093	1822549
675	675173	1821768
676	676381	1821335
677	677604	1820936
678	678654	1820074
679	680035	1820095
680	681018	1819048
681	682583	1819555
682	683636	1818694
683	685097	1818914
684	686160	1818075
685	687528	1818042
686	688650	1817356
687	689976	1817206
688	691191	1816759
689	692439	1816398
690	693609	1815830
691	694658	1814947
692	695910	1814589
693	696977	1813749
694	698561	1814249
695	699582	1813286
696	701066	1813517
697	702070	1812507
698	703363	1812243
699	704560	1811726
700	705945	1811691
701	707138	1811160
702	708360	1810701
703	709577	1810228
704	710677	1809455
705	712038	1809344
706	713159	1808620
707	714609	1808729
708	715673	1807859
709	717247	1808272
710	718283	1807326
711	719884	1807799
